,model,accuracy,macro_f1,weighted_f1,f1_low,f1_medium,f1_high
0,RF,0.8240445859872612,0.5333674913385059,0.828773775789838,0.13636363636363635,0.8956228956228957,0.5681159420289855
1,GBDT,0.7484076433121019,0.486119852054018,0.7776068795473269,0.0958904109589041,0.843765903307888,0.5187032418952618
2,KNN,0.589171974522293,0.42200930227407824,0.6572099567215959,0.1079136690647482,0.7106954997077732,0.4474187380497132
3,SVM,0.5326433121019108,0.41818501083155085,0.6110188622489972,0.10945273631840796,0.6481823783117683,0.49691991786447637
4,LogReg,0.49442675159235666,0.4090244701311912,0.5739523687039738,0.12581344902386118,0.6032362459546926,0.4980237154150198
5,Ridge,0.46735668789808915,0.3904984987168809,0.5438273149894983,0.11991434689507495,0.5700996677740864,0.48148148148148145
